epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
13,2424.49,0.97884,0.70901,0.99347,0.59159,0.5063,0.54695,0.36773,1.1098,3.82895,1.02679,0.000362902,0.000362902,0.000362902
14,2599.04,0.96904,0.69321,0.98979,0.59098,0.52355,0.55416,0.37106,1.09849,5.13463,1.01691,0.000353478,0.000353478,0.000353478
15,2759.45,0.96358,0.6786,0.98532,0.58648,0.50874,0.54981,0.36772,1.09927,5.01803,1.01572,0.000344053,0.000344053,0.000344053
16,2932.61,0.95476,0.66982,0.98276,0.59392,0.51231,0.56383,0.37813,1.10314,4.54829,1.0198,0.000334628,0.000334628,0.000334628
17,3100.13,0.94506,0.6559,0.97912,0.6021,0.51849,0.55576,0.37119,1.09746,5.3696,1.01861,0.000325203,0.000325203,0.000325203
18,3256.15,0.93788,0.64693,0.97697,0.62143,0.51703,0.57458,0.38716,1.08989,3.9654,1.01692,0.000315778,0.000315778,0.000315778
19,3418.29,0.93279,0.63827,0.97529,0.62243,0.50312,0.56118,0.37757,1.09081,4.63524,1.01278,0.000306354,0.000306354,0.000306354
20,3580.95,0.92501,0.6275,0.97255,0.60278,0.52386,0.56623,0.38528,1.07885,4.1709,1.0116,0.000296929,0.000296929,0.000296929
21,3748.79,0.92253,0.61999,0.96996,0.61646,0.52801,0.574,0.39114,1.07513,4.20536,1.01162,0.000287504,0.000287504,0.000287504
22,3910.43,0.91233,0.6105,0.96867,0.62288,0.52042,0.57132,0.38828,1.07801,4.36972,1.01044,0.000278079,0.000278079,0.000278079
23,4075.97,0.9103,0.60618,0.96517,0.61496,0.50747,0.55523,0.37509,1.08489,4.27994,1.01552,0.000268654,0.000268654,0.000268654
24,4231.01,0.90691,0.59968,0.96463,0.62288,0.52202,0.56973,0.38804,1.0748,5.07949,1.01332,0.00025923,0.00025923,0.00025923
25,4383.6,0.899,0.59064,0.96178,0.62222,0.51586,0.56959,0.38479,1.08822,4.82869,1.02057,0.000249805,0.000249805,0.000249805
26,4553.06,0.89647,0.58711,0.96189,0.6148,0.52376,0.57184,0.38837,1.07849,4.0146,1.01194,0.00024038,0.00024038,0.00024038
27,4723.24,0.89272,0.58347,0.96119,0.58366,0.52164,0.55677,0.37805,1.07592,3.821,1.00853,0.000230955,0.000230955,0.000230955
28,4877.86,0.88938,0.57829,0.95903,0.59405,0.52996,0.56012,0.38082,1.07427,6.52136,1.01185,0.00022153,0.00022153,0.00022153
29,5057.28,0.88292,0.57226,0.95651,0.62648,0.52221,0.56976,0.39104,1.05772,4.90136,1.00258,0.000212106,0.000212106,0.000212106
30,5208.58,0.8776,0.5648,0.95484,0.63467,0.52847,0.58171,0.3953,1.07048,4.02108,1.01027,0.000202681,0.000202681,0.000202681
31,5362.29,0.87576,0.56276,0.95382,0.62686,0.52194,0.56873,0.38711,1.06369,4.40456,1.00424,0.000193256,0.000193256,0.000193256
32,5525.98,0.8714,0.55719,0.95281,0.62027,0.53123,0.57574,0.39434,1.06194,4.68855,1.00589,0.000183831,0.000183831,0.000183831
33,5678.85,0.86756,0.55295,0.95068,0.61586,0.5217,0.56329,0.38274,1.07156,4.28835,1.01216,0.000174406,0.000174406,0.000174406
34,5838.48,0.8642,0.55085,0.94979,0.62559,0.52386,0.56587,0.3838,1.0682,4.96118,1.00753,0.000164982,0.000164982,0.000164982
35,5987.98,0.86362,0.54891,0.94906,0.62147,0.52843,0.5714,0.39077,1.06161,4.54581,1.00544,0.000155557,0.000155557,0.000155557
36,6140.05,0.85709,0.54324,0.94679,0.61992,0.52454,0.56833,0.38967,1.05962,4.12807,1.00503,0.000146132,0.000146132,0.000146132
37,6285.34,0.85294,0.53796,0.94677,0.62445,0.52637,0.57107,0.39083,1.06134,4.34528,1.00737,0.000136707,0.000136707,0.000136707
38,6459.85,0.85085,0.53525,0.94377,0.63035,0.518,0.56642,0.38845,1.05455,4.41724,1.00383,0.000127282,0.000127282,0.000127282
39,6649,0.84854,0.53307,0.94311,0.62333,0.52418,0.56718,0.38868,1.05642,4.3594,1.00329,0.000117858,0.000117858,0.000117858
40,6827.1,0.84514,0.53029,0.94312,0.62289,0.51978,0.56798,0.38928,1.05714,4.35563,1.00537,0.000108433,0.000108433,0.000108433
